Row,Policy ID,Issue,Severity,Value,Proposed fix
320,BTD-2024-00274,Currency not ISO-4217,Medium,usd,"Trim, upper-case, US$ -> USD"
335,BTD-2024-00010,Currency not ISO-4217,Medium,GBP ,"Trim, upper-case, US$ -> USD"
342,BTD-2025-00488,Currency not ISO-4217,Medium,usd,"Trim, upper-case, US$ -> USD"
361,BTD-2024-00237,Currency not ISO-4217,Medium,GBP ,"Trim, upper-case, US$ -> USD"
380,BTD-2025-00407,Currency not ISO-4217,Medium,GBP ,"Trim, upper-case, US$ -> USD"
385,BTD-2024-00136,Currency not ISO-4217,Medium,GBP ,"Trim, upper-case, US$ -> USD"
403,BTD-2025-00430,Currency not ISO-4217,Medium,GBP ,"Trim, upper-case, US$ -> USD"
414,BTD-2024-00259,Currency not ISO-4217,Medium,usd,"Trim, upper-case, US$ -> USD"
450,BTD-2026-00754,Currency not ISO-4217,Medium,usd,"Trim, upper-case, US$ -> USD"
464,BTD-2025-00682,Currency not ISO-4217,Medium,GBP ,"Trim, upper-case, US$ -> USD"
469,BTD-2024-00096,Currency not ISO-4217,Medium,US$,"Trim, upper-case, US$ -> USD"
493,BTD-2025-00647,Currency not ISO-4217,Medium,US$,"Trim, upper-case, US$ -> USD"
539,BTD-2024-00123,Currency not ISO-4217,Medium,GBP ,"Trim, upper-case, US$ -> USD"
541,BTD-2026-00747,Currency not ISO-4217,Medium,usd,"Trim, upper-case, US$ -> USD"
580,BTD-2025-00348,Currency not ISO-4217,Medium,usd,"Trim, upper-case, US$ -> USD"
609,BTD-2026-00932,Currency not ISO-4217,Medium,GBP ,"Trim, upper-case, US$ -> USD"
621,BTD-2026-00835,Currency not ISO-4217,Medium,GBP ,"Trim, upper-case, US$ -> USD"
628,BTD-2024-00196,Currency not ISO-4217,Medium,usd,"Trim, upper-case, US$ -> USD"
753,BTD-2024-00198,Currency not ISO-4217,Medium,GBP ,"Trim, upper-case, US$ -> USD"
760,BTD-2026-00760,Currency not ISO-4217,Medium,usd,"Trim, upper-case, US$ -> USD"
776,BTD-2025-00571,Currency not ISO-4217,Medium,US$,"Trim, upper-case, US$ -> USD"
813,BTD-2024-00120,Currency not ISO-4217,Medium,GBP ,"Trim, upper-case, US$ -> USD"
831,BTD-2026-00943,Currency not ISO-4217,Medium,usd,"Trim, upper-case, US$ -> USD"
854,BTD-2026-00842,Currency not ISO-4217,Medium,usd,"Trim, upper-case, US$ -> USD"
879,BTD-2025-00698,Currency not ISO-4217,Medium,GBP ,"Trim, upper-case, US$ -> USD"
897,BTD-2024-00321,Currency not ISO-4217,Medium,usd,"Trim, upper-case, US$ -> USD"
911,BTD-2026-00859,Currency not ISO-4217,Medium,usd,"Trim, upper-case, US$ -> USD"
932,BTD-2024-00033,Currency not ISO-4217,Medium,GBP ,"Trim, upper-case, US$ -> USD"
5,BTD-2024-00186,Product Line alias,Medium,Kidnap and Ransom,Map to canonical value
13,BTD-2026-00948,Product Line alias,Medium,K&R,Map to canonical value
15,BTD-2024-00229,Product Line alias,Medium,Kidnap and Ransom,Map to canonical value
18,BTD-2025-00469,Product Line alias,Medium,PI,Map to canonical value
21,BTD-2025-00703,Product Line alias,Medium,Kidnap and Ransom,Map to canonical value
98,BTD-2024-00257,Product Line alias,Medium,PI,Map to canonical value
106,BTD-2025-00524,Product Line alias,Medium,Prof Indemnity,Map to canonical value
151,BTD-2025-00681,Product Line alias,Medium,Kidnap and Ransom,Map to canonical value
195,BTD-2025-00497,Product Line alias,Medium,Kidnap and Ransom,Map to canonical value
211,BTD-2024-00276,Product Line alias,Medium,Kidnap and Ransom,Map to canonical value
245,BTD-2025-00487,Product Line alias,Medium,K&R,Map to canonical value
253,BTD-2026-00897,Product Line alias,Medium,K&R,Map to canonical value
256,BTD-2025-00597,Product Line alias,Medium,Prof Indemnity,Map to canonical value
312,BTD-2025-00442,Product Line alias,Medium,Prof Indemnity,Map to canonical value
373,BTD-2026-00867,Product Line alias,Medium,Prof Indemnity,Map to canonical value
378,BTD-2024-00219,Product Line alias,Medium,Kidnap and Ransom,Map to canonical value
379,BTD-2024-00232,Product Line alias,Medium,Prof Indemnity,Map to canonical value
396,BTD-2024-00011,Product Line alias,Medium,Prof Indemnity,Map to canonical value
451,BTD-2025-00395,Product Line alias,Medium,PI,Map to canonical value
452,BTD-2026-00788,Product Line alias,Medium,Kidnap and Ransom,Map to canonical value
470,BTD-2025-00549,Product Line alias,Medium,Kidnap and Ransom,Map to canonical value
488,BTD-2025-00354,Product Line alias,Medium,PI,Map to canonical value
543,BTD-2025-00397,Product Line alias,Medium,Kidnap and Ransom,Map to canonical value
546,BTD-2025-00538,Product Line alias,Medium,Prof Indemnity,Map to canonical value
560,BTD-2024-00243,Product Line alias,Medium,K&R,Map to canonical value
567,BTD-2025-00545,Product Line alias,Medium,Kidnap and Ransom,Map to canonical value
589,BTD-2024-00015,Product Line alias,Medium,Kidnap and Ransom,Map to canonical value
594,BTD-2024-00327,Product Line alias,Medium,K&R,Map to canonical value
614,BTD-2025-00612,Product Line alias,Medium,Kidnap and Ransom,Map to canonical value
631,BTD-2025-00533,Product Line alias,Medium,Prof Indemnity,Map to canonical value
649,BTD-2024-00083,Product Line alias,Medium,K&R,Map to canonical value
659,BTD-2026-00815,Product Line alias,Medium,Kidnap and Ransom,Map to canonical value
676,BTD-2025-00606,Product Line alias,Medium,PI,Map to canonical value
686,BTD-2025-00540,Product Line alias,Medium,K&R,Map to canonical value
689,BTD-2026-00734,Product Line alias,Medium,K&R,Map to canonical value
694,BTD-2025-00707,Product Line alias,Medium,Kidnap and Ransom,Map to canonical value
747,BTD-2025-00357,Product Line alias,Medium,K&R,Map to canonical value
790,BTD-2024-00236,Product Line alias,Medium,Kidnap and Ransom,Map to canonical value
801,BTD-2024-00190,Product Line alias,Medium,Kidnap and Ransom,Map to canonical value
812,BTD-2026-00871,Product Line alias,Medium,Kidnap and Ransom,Map to canonical value
814,BTD-2025-00422,Product Line alias,Medium,K&R,Map to canonical value
843,BTD-2025-00441,Product Line alias,Medium,K&R,Map to canonical value
901,BTD-2025-00528,Product Line alias,Medium,PI,Map to canonical value
920,BTD-2025-00466,Product Line alias,Medium,Prof Indemnity,Map to canonical value
47,BTD-2025-00601,Distribution casing/whitespace,Low,Wholesale ,Trim + title-case
49,BTD-2025-00474,Distribution casing/whitespace,Low,retail,Trim + title-case
54,BTD-2026-00862,Distribution casing/whitespace,Low,retail,Trim + title-case
64,BTD-2024-00054,Distribution casing/whitespace,Low,Wholesale ,Trim + title-case
84,BTD-2025-00667,Distribution casing/whitespace,Low,Wholesale ,Trim + title-case
111,BTD-2025-00523,Distribution casing/whitespace,Low,Wholesale ,Trim + title-case
122,BTD-2026-00896,Distribution casing/whitespace,Low,Wholesale ,Trim + title-case
143,BTD-2024-00128,Distribution casing/whitespace,Low,Wholesale ,Trim + title-case
170,BTD-2025-00627,Distribution casing/whitespace,Low,Wholesale ,Trim + title-case
171,BTD-2026-00883,Distribution casing/whitespace,Low,Wholesale ,Trim + title-case
189,BTD-2025-00631,Distribution casing/whitespace,Low,Wholesale ,Trim + title-case
207,BTD-2025-00343,Distribution casing/whitespace,Low,Wholesale ,Trim + title-case
213,BTD-2025-00496,Distribution casing/whitespace,Low,Wholesale ,Trim + title-case
254,BTD-2024-00157,Distribution casing/whitespace,Low,retail,Trim + title-case
255,BTD-2025-00508,Distribution casing/whitespace,Low,retail,Trim + title-case
277,BTD-2025-00657,Distribution casing/whitespace,Low,retail,Trim + title-case
321,BTD-2024-00072,Distribution casing/whitespace,Low,Wholesale ,Trim + title-case
326,BTD-2025-00688,Distribution casing/whitespace,Low,Wholesale ,Trim + title-case
336,BTD-2024-00233,Distribution casing/whitespace,Low,Wholesale ,Trim + title-case
368,BTD-2025-00380,Distribution casing/whitespace,Low,retail,Trim + title-case
390,BTD-2024-00125,Distribution casing/whitespace,Low,Wholesale ,Trim + title-case
397,BTD-2024-00062,Distribution casing/whitespace,Low,retail,Trim + title-case
421,BTD-2025-00490,Distribution casing/whitespace,Low,Wholesale ,Trim + title-case
435,BTD-2026-00762,Distribution casing/whitespace,Low,Wholesale ,Trim + title-case
482,BTD-2025-00461,Distribution casing/whitespace,Low,Wholesale ,Trim + title-case
497,BTD-2026-00949,Distribution casing/whitespace,Low,Wholesale ,Trim + title-case
507,BTD-2024-00316,Distribution casing/whitespace,Low,Wholesale ,Trim + title-case
554,BTD-2025-00552,Distribution casing/whitespace,Low,retail,Trim + title-case
568,BTD-2025-00628,Distribution casing/whitespace,Low,retail,Trim + title-case
572,BTD-2024-00297,Distribution casing/whitespace,Low,retail,Trim + title-case
584,BTD-2024-00296,Distribution casing/whitespace,Low,retail,Trim + title-case
587,BTD-2025-00440,Distribution casing/whitespace,Low,retail,Trim + title-case
616,BTD-2026-00887,Distribution casing/whitespace,Low,retail,Trim + title-case
656,BTD-2024-00170,Distribution casing/whitespace,Low,Wholesale ,Trim + title-case
716,BTD-2025-00564,Distribution casing/whitespace,Low,Wholesale ,Trim + title-case
717,BTD-2024-00152,Distribution casing/whitespace,Low,Wholesale ,Trim + title-case
772,BTD-2024-00261,Distribution casing/whitespace,Low,Wholesale ,Trim + title-case
773,BTD-2025-00596,Distribution casing/whitespace,Low,retail,Trim + title-case
784,BTD-2026-00930,Distribution casing/whitespace,Low,Wholesale ,Trim + title-case
797,BTD-2026-00837,Distribution casing/whitespace,Low,Wholesale ,Trim + title-case
799,BTD-2025-00429,Distribution casing/whitespace,Low,retail,Trim + title-case
821,BTD-2026-00916,Distribution casing/whitespace,Low,Wholesale ,Trim + title-case
833,BTD-2025-00701,Distribution casing/whitespace,Low,retail,Trim + title-case
863,BTD-2026-00917,Distribution casing/whitespace,Low,Wholesale ,Trim + title-case
881,BTD-2024-00099,Distribution casing/whitespace,Low,retail,Trim + title-case
918,BTD-2026-00776,Distribution casing/whitespace,Low,Wholesale ,Trim + title-case
922,BTD-2024-00326,Distribution casing/whitespace,Low,Wholesale ,Trim + title-case
941,BTD-2026-00905,Distribution casing/whitespace,Low,Wholesale ,Trim + title-case
953,BTD-2024-00195,Distribution casing/whitespace,Low,retail,Trim + title-case
957,BTD-2024-00217,Distribution casing/whitespace,Low,retail,Trim + title-case
4,BTD-2024-00055,Same client/product/inception as another policy,Low,Harrowgate Resources Group,Review - may be legitimate separate placement
280,BTD-2024-00268,Same client/product/inception as another policy,Low,Ardenvale Mining Corporation,Review - may be legitimate separate placement
297,BTD-2025-00535,Same client/product/inception as another policy,Low,Corrieburn Energy,Review - may be legitimate separate placement
422,BTD-2026-00924,Same client/product/inception as another policy,Low,Pillerton Pharma,Review - may be legitimate separate placement
466,BTD-2025-00551,Same client/product/inception as another policy,Low,Underhill Logistics,Review - may be legitimate separate placement
479,BTD-2025-00340,Same client/product/inception as another policy,Low,Wrayburn Motors,Review - may be legitimate separate placement
582,BTD-2025-00388,Same client/product/inception as another policy,Low,Wrayburn Motors,Review - may be legitimate separate placement
744,BTD-2024-00279,Same client/product/inception as another policy,Low,Ardenvale Mining Corporation,Review - may be legitimate separate placement
784,BTD-2026-00930,Same client/product/inception as another policy,Low,Pillerton Pharma,Review - may be legitimate separate placement
845,BTD-2025-00587,Same client/product/inception as another policy,Low,Underhill Logistics,Review - may be legitimate separate placement
935,BTD-2024-00017,Same client/product/inception as another policy,Low,Harrowgate Resources Group,Review - may be legitimate separate placement
960,BTD-2025-00542,Same client/product/inception as another policy,Low,Corrieburn Energy,Review - may be legitimate separate placement
